"2021-02-02 03:13:04, args.dataset:R52, results.mean():0.91362, results.std():0.00000args.lr:0.001,args.l2: 1e-06, seed: 0",0.9136186770428015
"2021-02-02 13:19:26, args.dataset:R8, results.mean():0.96753, results.std():0.00248args.lr:0.001,args.l2: 1e-06, seed: 9","0.9684931506849315,0.9689497716894977,0.9611872146118722,0.9689497716894977,0.9680365296803652,0.9671232876712329,0.9671232876712329,0.9662100456621004,0.9712328767123287,0.9680365296803652"
"2021-02-02 15:03:18, args.dataset:mr, results.mean():0.77456, results.std():0.00325args.lr:0.0005,args.l2: 1e-06, seed: 9","0.7720877884074282,0.7712436691052336,0.7715250422059651,0.7749015194147439,0.7718064153066967,0.7743387732132808,0.7771525042205966,0.7768711311198649,0.7734946539110861,0.7822172200337648"
"2021-02-02 15:29:52, args.dataset:R52, results.mean():0.94144, results.std():0.00273args.lr:0.001,args.l2: 1e-06, seed: 9","0.945136186770428,0.9412451361867704,0.9443579766536965,0.9443579766536965,0.9389105058365759,0.9439688715953307,0.9392996108949416,0.9369649805447471,0.9389105058365759,0.9412451361867704"
"2021-02-02 21:52:23, args.dataset:ohsumed, results.mean():0.44373, results.std():0.00143args.lr:0.001,args.l2: 1e-06, seed: 9","0.4441215738631901,0.4417654912432263,0.4438074295138616,0.44145134689389776,0.4448283986491793,0.44207963559255475,0.4459279038718291,0.44435718212518655,0.4438074295138616,0.4451425429985078"
"2021-02-02 23:56:09, args.dataset:20ng, results.mean():0.84693, results.std():0.00308args.lr:0.001,args.l2: 1e-06, seed: 9","0.8462559745087627,0.8475836431226765,0.8501062134891131,0.8479819437068508,0.8471853425385024,0.841343600637281,0.8511683483802442,0.8441317047265002,0.8432023366967605,0.8503717472118959"
